Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Christophor Sytnikov",normal,18,Failed,"Broadcast - Part 1","Zone qlight_extension_mechanik1_exploration1","1","13:35:08","13:39:23",
Bot2,"Tikhon Buryakov",normal,13,Completed,"Resort Garage","Resort Garage: Objective #1","3","13:35:08","13:37:25",
Bot2,"Tikhon Buryakov",normal,13,Completed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","13:37:30","13:39:10",
Bot2,"Tikhon Buryakov",normal,13,Failed,"Chalet Kayak Storage","Chalet Kayak Storage: Objective #1","1","13:39:15","13:39:47",
Bot5,"Malik Landa",normal,34,Completed,"The Hermit","Item Sealed letter","1","13:35:08","13:42:47",
Bot5,"Malik Landa",normal,34,Completed,"Cabins Crashed Van","Cabins Crashed Van: Objective #1","1","13:42:52","13:43:10",
Bot5,"Malik Landa",normal,34,Failed,"The Hermit","Zone qlight_hunt_fr_find","1","13:43:15","13:43:43",
Bot4,"Zachery Ruggles",normal,26,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","13:35:08","13:35:33",
Bot4,"Zachery Ruggles",normal,26,Completed,"Village East House","Village East House: Objective #2","1","13:35:38","13:36:24",
Bot4,"Zachery Ruggles",normal,26,Failed,"Cabins","Cabins: Objective #1","1","13:36:30","13:38:22",
Bot4,"Zachery Ruggles",normal,26,Completed,"Cabins","Cabins: Objective #5","1","13:38:27","13:38:38",
Bot4,"Zachery Ruggles",normal,26,Completed,"Cabins","Cabins: Objective #4","1","13:38:43","13:38:57",
Bot4,"Zachery Ruggles",normal,26,Completed,"Cabins","Cabins: Objective #2","1","13:39:02","13:39:26",
Bot4,"Zachery Ruggles",normal,26,Completed,"The Hermit","Item Sealed letter","1","13:39:31","13:39:36",
Bot4,"Zachery Ruggles",normal,26,Completed,"Cabins Crashed Van","Cabins Crashed Van: Objective #1","1","13:39:41","13:39:58",
Bot4,"Zachery Ruggles",normal,26,Failed,"Cabins","Cabins: Objective #3","1","13:40:03","13:42:03",
Bot4,"Zachery Ruggles",normal,26,Failed,"Easy Job - Part 2","Zone qlight_pr1_heli2_kill","1","13:40:38","13:42:03",
