Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot23,"Valery Ugolev",normal,4,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","15:44:57","15:49:16",
Bot24,"Valery Cherkasov",normal,11,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","15:44:57","15:45:02",
Bot24,"Valery Cherkasov",normal,11,Active,"Skyside Hotel","Skyside Hotel: Objective #3","1","15:45:07","N/A",
Bot25,"Dobroslav Dultsev",normal,7,Pending,"Luxurious Life","Item Bottle of Le Jean wine","1","15:44:58","N/A",
Bot26,"Spiridon Korchagin",normal,3,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:45:00","15:49:38",
Bot28,"Nelson Queener",normal,12,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","15:45:01","15:46:17",
Bot27,"Efim Sakharov",normal,8,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","15:45:01","15:51:02",
Bot29,"Semyon Tankov",normal,3,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","15:45:02","15:46:28",
Bot29,"Semyon Tankov",normal,3,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","15:46:33","15:47:45",
Bot29,"Semyon Tankov",normal,3,Completed,"Tarbank","Tarbank: Objective #2","1","15:47:50","15:48:56",
Bot29,"Semyon Tankov",normal,3,Completed,"Tarbank","Tarbank: Objective #1","1","15:49:01","15:49:13",
Bot29,"Semyon Tankov",normal,3,Completed,"Tarbank","Tarbank: Objective #4","1","15:49:18","15:49:42",
Bot29,"Semyon Tankov",normal,3,Completed,"Tarbank","Tarbank: Objective #6","1","15:49:47","15:49:50",
Bot29,"Semyon Tankov",normal,3,Completed,"Tarbank","Tarbank: Objective #5","1","15:49:55","15:50:15",
Bot29,"Semyon Tankov",normal,3,Completed,"Tarbank","Tarbank: Objective #3","1","15:50:20","15:52:23",
Bot29,"Semyon Tankov",normal,3,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","15:52:28","15:52:45",
