Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot39,"Rubin Berglund",normal,15,Completed,"Gratitude","Zone place_THX_15","2","16:01:55","16:03:18",
Bot39,"Rubin Berglund",normal,15,Completed,"Steady Signal","Zone q14_8_4","1","16:03:23","16:06:20",
Bot39,"Rubin Berglund",normal,15,Completed,"Steady Signal","Zone q14_8_5","1","16:06:25","16:10:10",
Bot39,"Rubin Berglund",normal,15,Completed,"Steady Signal","Zone q14_8_2","1","16:10:15","16:12:34",
Bot39,"Rubin Berglund",normal,15,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","16:12:39","16:12:42",
Bot39,"Rubin Berglund",normal,15,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","16:12:47","16:13:03",
Bot39,"Rubin Berglund",normal,15,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","16:13:08","16:13:46",
Bot39,"Rubin Berglund",normal,15,Completed,"Steady Signal","Zone q14_8_3","1","16:13:51","16:15:01",
Bot39,"Rubin Berglund",normal,15,Active,"Steady Signal","Zone q14_8_1","1","16:15:06","N/A",
Bot40,"Kirby Fink",normal,14,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","16:01:57","16:04:03",
Bot40,"Kirby Fink",normal,14,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","16:04:08","16:04:35",
Bot40,"Kirby Fink",normal,14,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","16:04:40","16:05:28",
Bot40,"Kirby Fink",normal,14,Failed,"Supply Plans","Item Secure Folder 0052","1","16:05:33","16:06:48",
Bot41,"Chet Duong",normal,17,Failed,"Steady Signal","Zone q14_8_5","1","16:01:57","16:07:39",
Bot42,"Boris Kasyanenko",normal,13,Completed,"Search Mission","Zone pr_scout_base","1","16:01:58","16:02:17",
Bot42,"Boris Kasyanenko",normal,13,Completed,"Search Mission","Zone pr_scout_col","1","16:02:22","16:03:07",
Bot42,"Boris Kasyanenko",normal,13,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","16:03:12","16:05:18",
Bot42,"Boris Kasyanenko",normal,13,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","16:05:23","16:05:52",
Bot42,"Boris Kasyanenko",normal,13,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","16:05:57","16:06:17",
Bot42,"Boris Kasyanenko",normal,13,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","16:06:22","16:06:35",
Bot42,"Boris Kasyanenko",normal,13,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","16:06:40","16:07:24",
Bot42,"Boris Kasyanenko",normal,13,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","16:07:29","16:07:38",
Bot42,"Boris Kasyanenko",normal,13,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","16:07:43","16:10:19",
Bot42,"Boris Kasyanenko",normal,13,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #4","1","16:10:25","16:11:56",
Bot42,"Boris Kasyanenko",normal,13,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #2","1","16:12:01","16:12:08",
Bot42,"Boris Kasyanenko",normal,13,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #1","1","16:12:13","16:12:26",
Bot42,"Boris Kasyanenko",normal,13,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #3","1","16:12:31","16:12:38",
Bot42,"Boris Kasyanenko",normal,13,Completed,"Sunken Village","Sunken Village: Objective #3","1","16:12:43","16:13:53",
Bot42,"Boris Kasyanenko",normal,13,Completed,"Sunken Village","Sunken Village: Objective #1","1","16:13:58","16:15:25",
Bot42,"Boris Kasyanenko",normal,13,Completed,"Sunken Village","Sunken Village: Objective #2","1","16:15:30","16:15:58",
Bot42,"Boris Kasyanenko",normal,13,Active,"Convoy","Convoy: Objective #1","1","16:16:03","N/A",
Bot43,"Vseslav Yegorov",normal,5,Pending,"Uncovered Businesses","Zone pr_scout_base","1","16:01:59","N/A",
Bot45,"Michael Lareau",normal,12,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","16:02:02","16:02:10",
Bot45,"Michael Lareau",normal,12,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","16:02:16","16:02:34",
Bot45,"Michael Lareau",normal,12,Failed,"Scav Base","Scav Base: Objective #1","4","16:02:39","16:04:18",
Bot45,"Michael Lareau",normal,12,Completed,"Scav Base","Scav Base: Objective #4","2","16:04:23","16:04:46",
Bot45,"Michael Lareau",normal,12,Completed,"Scav Base","Scav Base: Objective #3","1","16:04:51","16:04:57",
Bot45,"Michael Lareau",normal,12,Completed,"Scav Base","Scav Base: Objective #2","4","16:05:02","16:06:04",
Bot45,"Michael Lareau",normal,12,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #1","1","16:06:09","16:07:39",
Bot46,"Myles Sines",normal,2,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","16:02:02","16:02:09",
Bot46,"Myles Sines",normal,2,Failed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","16:02:14","16:08:04",
